rating,category,fandom,relationship,character,additional tags,language,published,status,status date,words,comments,kudos,bookmarks,hits,persephone_agency,hades_agency,agency_diff,hades_power,persephone_power,power_diff
Explicit,['F/M'],"['Ancient Greek Religion & Lore', 'Hymn to Demeter - Homer']",['Hades/Persephone (Ancient Greek Religion & Lore)'],"['Hades (Ancient Greek Religion & Lore)', 'Persephone (Ancient Greek Religion & Lore)']","['Consensual Non-Consent', 'Abduction Roleplay', 'Somnophilia', 'Sub put into magic sleep']",English,2022-08-19,Completed,2022-08-19,1259,6.0,68.0,8.0,1268,,,,,,
General Audiences,['F/M'],"['Ancient Greek Religion & Lore', 'Hadestown - Mitchell']","['Eurydice wife of Orpheus/Orpheus (Ancient Greek Religion & Lore)', 'Hades/Persephone (Ancient Greek Religion & Lore)', 'Echo/Narcissus (Ancient Greek Religion & Lore)']","['Orpheus (Ancient Greek Religion & Lore)', 'Eurydice wife of Orpheus (Ancient Greek Religion & Lore)', 'Other(s)']","['Poetry', 'Bad Poetry', 'The fickleness of Fate', 'And of the gods', 'of love and loss', 'Hope', 'Canonical Character Death', 'Philosophy', 'Questions', 'Poetry as song', 'Doomed Relationship']",English,2022-08-17,Completed,2022-08-17,350,,4.0,,41,,,,,,
General Audiences,['F/M'],['Ancient Greek Religion & Lore'],['Hades/Persephone (Ancient Greek Religion & Lore)'],"['Hades (Ancient Greek Religion & Lore)', 'Persephone (Ancient Greek Religion & Lore)', 'Demeter (Ancient Greek Religion & Lore)']","['Fluff', ""i'm just yearning and"", 'you know', 'Short & Sweet']",English,2022-08-16,Completed,2022-08-16,753,1.0,46.0,2.0,351,,,,,,
Teen And Up Audiences,['F/M'],['Ancient Greek Religion & Lore'],"['Hades/Persephone (Ancient Greek Religion & Lore)', 'Hades & Persephone (Ancient Greek Religion & Lore)']","['Hades (Ancient Greek Religion & Lore)', 'Persephone (Ancient Greek Religion & Lore)']","['Sweet', 'Fluff', 'Domestic Fluff', 'adopting a pet', 'Persephone is a sunshine child', 'Pre-Relationship', 'kind of']",English,2022-08-15,Completed,2022-08-15,427,1.0,26.0,2.0,233,0.5,0.0,-0.5,-0.2222222222222222,0.16666666666666666,-0.38888888888888884
Teen And Up Audiences,['F/M'],"['Lore Olympus (Webcomic)', 'Ancient Greek Religion & Lore']","['Hades/Persephone (Lore Olympus)', 'Ananke (Ancient Greek Religion & Lore)/Cronus (Class of the Titans)']","['Hecate (Lore Olympus)', 'Hades (Lore Olympus)', 'Persephone (Lore Olympus)']",[''],English,2022-07-25,Completed,2022-07-25,753,2.0,7.0,,81,-0.16666666666666666,0.46153846153846156,0.6282051282051282,-0.07692307692307693,-0.3333333333333333,0.2564102564102564
Teen And Up Audiences,['F/M'],['Ancient Greek Religion & Lore'],['Hades/Persephone (Ancient Greek Religion & Lore)'],"['Hades (Ancient Greek Religion & Lore)', 'Persephone (Ancient Greek Religion & Lore)', 'Hecate (Ancient Greek Religion & Lore)']",[''],English,2022-07-12,Completed,2022-07-12,1752,8.0,8.0,3.0,282,,,,,,
Not Rated,[''],"['Hades (Video Game 2018)', 'Hadestown - Mitchell', 'Ancient Greek Religion & Lore']","['Hades/Persephone (Hades Video Game)', 'Hades/Persephone (Ancient Greek Religion & Lore)', 'Hades & Hermes & Persephone (Ancient Greek Religion & Lore)', 'Hades & Hermes (Hades Video Game)', 'Hades & Hermes (Hadestown)', 'Hades & Sisyphus (Ancient Greek Religion & Lore)', 'Hermes & Sisyphus']","['Hades (Hades Video Game)', 'Persephone (Hadestown)', 'Persephone (Ancient Greek Religion & Lore)', 'Persephone (Hades Video Game)', 'Sisyphus (Hades Video Game)', 'Hades (Hadestown)', 'Sisyphus (Ancient Greek Religion & Lore)']","['Persephone wants a family', 'Hades is stubborn']",English,2022-07-09,Completed,2022-07-09,1365,,14.0,3.0,189,-0.09375,0.25,0.34375,-0.05357142857142857,-0.25,0.19642857142857142
General Audiences,['F/M'],"['Ancient Greek Religion & Lore', 'Greek Mythology']","['Hades/Persephone (Ancient Greek Religion & Lore)', 'Hades & Persephone (Ancient Greek Religion & Lore)', 'Demeter & Persephone (Ancient Greek Religion & Lore)', 'Demeter & Hades (Ancient Greek Religion & Lore)', 'Macaria daughter of Hades/Thanatos (Ancient Greek Religion & Lore)']","['Hades (Ancient Greek Religion & Lore)', 'Macaria daughter of Hades (Ancient Greek Religion & Lore)', 'Persephone (Ancient Greek Religion & Lore)', 'Zagreus (Ancient Greek Religion & Lore)', 'Nyx (Ancient Greek Religion & Lore)', 'Erebus (Ancient Greek Religion & Lore)', 'Thanatos (Ancient Greek Religion & Lore)', 'Melinoe (Ancient Greek Religion & Lore)']","['Mentions of Zeus and Posiden', 'Demeter was never wrong for what she did', 'Hades and Persephone are still dumb dorks in love', 'Hades and Persephone are good parents', 'Thanatos is wipped', 'Makaria/Macaria is wipped', 'Thanatos is a good person', 'angst or fluff?', 'idk you choose']",English,2022-06-30,Completed,2022-06-30,1721,,16.0,1.0,460,,,,,,
Teen And Up Audiences,"['F/M', 'M/M']","['Percy Jackson and the Olympians - Rick Riordan', 'Ancient Greek Religion & Lore']","['Hades/Persephone (Percy Jackson)', 'Apollo/Icarus (Ancient Greek Religion & Lore)']","['Hades', 'Persephone', 'Apollo', 'Artemis', 'Hermes', 'Dionysus', 'Hera', 'Zeus', 'Icarus']","['Running Away', 'Sibling Love', 'Hades is a good Uncle', 'zeus and hera are assholes', 'LGBTQ Character', 'Gay gods', 'Mortal AU']",English,2022-06-29,Completed,2022-06-29,1411,2.0,30.0,4.0,358,0.625,0.5882352941176471,-0.03676470588235292,0.17647058823529413,0.25,-0.07352941176470587
General Audiences,['F/M'],['Ancient Greek Religion & Lore'],"['Hades/Leuce (Ancient Greek Religion & Lore)', 'Hades/Persephone (Ancient Greek Religion & Lore)']","['Leuce (Ancient Greek Religion & Lore)', 'Hades (Ancient Greek Religion & Lore)', 'Persephone (Ancient Greek Religion & Lore)']","['Mentioned Thanatos (Hades Video Game)', 'Love', 'Reminiscing', 'First Love', 'Grief/Mourning', 'Character Death', 'Canonical Character Death', 'Mortality', 'Immortality', 'Poetic', 'Soft Hades (Ancient Greek Religion & Lore)']",English,2022-06-18,Completed,2022-06-18,865,3.0,10.0,,105,,,,,,
