rating,category,fandom,relationship,character,additional tags,language,published,status,status date,words,comments,kudos,bookmarks,hits,persephone_agency,hades_agency,agency_diff,hades_power,persephone_power,power_diff
General Audiences,['F/F'],"['Hadestown - Mitchell', 'Ancient Greek Religion & Lore']",['Hades/Persephone (Hadestown)'],"['Hades (Hadestown)', 'Persephone (Hadestown)']","['Lesbian Character', 'Trans Character', 't4t relationship', 'Coming Out', 'Fluff', 'Pre-Canon', 'Trans Female Character', ""takes place during Persephone's first six months in the underworld""]",English,2021-06-10,Completed,2021-06-10,975,,24.0,1.0,290,0.17857142857142858,,,,0.14285714285714285,
Teen And Up Audiences,['F/M'],['Ancient Greek Religion & Lore'],"['Hades/Minthe (Ancient Greek Religion & Lore)', 'Hades/Persephone (Ancient Greek Religion & Lore)', 'Hades - Relationship']","['Minthe (Ancient Greek Religion & Lore)', 'Hades (Ancient Greek Religion & Lore)']","['Cheating', 'Drama & Romance', 'Vaginal Sex', 'Nymphs & Dryads', 'Strangers to Lovers', 'Sorry Not Sorry', 'References to Ancient Greek Religion & Lore', 'Twelve Gods of Olympus (Ancient Greek Religion & Lore)']",English,2021-06-05,Completed,2021-06-05,488,,7.0,,537,,,,,,
Teen And Up Audiences,['F/M'],"['Aims - Vienna Teng (Album)', 'Hymn to Demeter - Homer', 'Ancient Greek Religion & Lore']",['Hades/Persephone (Ancient Greek Religion & Lore)'],"['Hades (Ancient Greek Religion & Lore)', 'Persephone (Ancient Greek Religion & Lore)', 'Demeter (Ancient Greek Religion & Lore)']","['Romance', 'Long-Distance Relationship', 'Family Drama', 'Crossovers & Fandom Fusions', 'Yuletide Treat', 'Podfic', 'Podfic Length: 10-20 Minutes']",English,2021-05-31,Completed,2021-05-31,5,,5.0,,100,,,,,,
Teen And Up Audiences,['F/M'],"['Hadestown - Mitchell', 'Ancient Greek Religion & Lore']",['Hades/Persephone (Hadestown)'],"['Hades (Hadestown)', 'Persephone (Hadestown)']",['Pre-Canon'],English,2021-05-30,Completed,2021-05-30,212,,17.0,,157,,,,,,
Mature,['F/M'],"['Original Work', 'Ancient Greek Religion & Lore']",['Hades/Persephone'],"['Persephone (Hadestown)', 'Hades (Ancient Greek Religion & Lore)']","['5 Minute Writing Challenge', 'Goddesses', 'Love/Hate']",English,2021-05-30,Completed,2021-05-30,208,,19.0,1.0,317,,0.3333333333333333,,0.1111111111111111,,
General Audiences,[''],"['Greek Mythology', 'Greek Mythology & Related Fandoms', 'Ancient Greek Religion & Lore']","['Hades/Persephone', 'Eurydice/Orpheus']","['Eurydice', 'Orpheus', 'Hades', 'Persephone']","['Inspired by Hadestown', 'myths', 'Greek Mythology - Freeform', 'Gods', 'Deals']",English,2021-05-29,Completed,2021-05-29,857,2.0,5.0,,65,,-0.5,,0.0,,
General Audiences,['F/M'],['Ancient Greek Religion & Lore'],"['Hades/Persephone (Ancient Greek Religion & Lore)', 'Demeter & Persephone (Ancient Greek Religion & Lore)', 'Demeter & Hades (Ancient Greek Religion & Lore)', 'Hades & poseidon (acient greek religion & lore)', 'Cerberus & Hades (Ancient Greek Religion & Lore)', 'Cerberus & Persephone (Ancient Greek Religion & Lore)']","['Hades', 'Persephone', 'Demeter', 'Poseidon', 'Cerberus (Ancient Greek Religion & Lore)']","['dogwalking au', 'References to Ancient Greek Religion & Lore', 'Dogs', 'Love', 'Falling In Love', 'Clubbing', 'Alternate Universe - College/University', 'College AU']",English,2021-05-14,Completed,2021-05-14,1222,,30.0,5.0,438,0.15789473684210525,,,,0.07894736842105263,
Explicit,['F/M'],['Ancient Greek Religion & Lore'],['Hades/Persephone (Ancient Greek Religion & Lore)'],"['Hades (Ancient Greek Religion & Lore)', 'Persephone (Ancient Greek Religion & Lore)']","['Kidnapping', 'Held Down', 'Ravishment', 'Penis In Vagina Sex', 'Loss of Virginity', 'smut4smut treat']",English,2021-04-24,Completed,2021-04-24,1506,27.0,165.0,21.0,6580,0.08064516129032258,,,,-0.4032258064516129,
Teen And Up Audiences,"['Gen', 'Other']",['Ancient Greek Religion & Lore'],"['Hades/Persephone (Ancient Greek Religion & Lore)', 'Demeter & Persephone (Ancient Greek Religion & Lore)']","['Demeter (Ancient Greek Religion & Lore)', 'Persephone (Ancient Greek Religion & Lore)', 'Hades (Ancient Greek Religion & Lore)']",['Family Drama'],English,2021-04-21,Completed,2021-04-21,1595,7.0,97.0,11.0,785,0.2558139534883721,0.0,-0.2558139534883721,-1.0,-0.09302325581395349,-0.9069767441860466
Teen And Up Audiences,"['M/M', 'Other']",['Ancient Greek Religion & Lore'],"['Hades/Persephone (Ancient Greek Religion & Lore)', 'Hera/Zeus (Ancient Greek Religion & Lore)', 'Achilles/Patroclus of Opus (Ancient Greek Religion & Lore)']","['Genesis Smith', 'Meghann Moore', 'Reihan Miller', 'Rain Rothers', 'Mikey Williams']","['References to Ancient Greek Religion & Lore', 'Gay Male Character', 'Pansexual Character', 'War', 'Ragnarok', 'Character Death', 'just read it', 'ressurection', 'sassy mc', 'Found Family', 'Zeus is an ass', 'Medusa is adorable', 'Athena is a mother figure', 'The titans are back ig', 'Kind of a sequel without the first book', 'Im new here', ""I don't even know anymore""]",English,2021-04-16,Completed,2021-04-16,1589,,3.0,,168,,,,,,
Not Rated,['F/M'],['Ancient Greek Religion & Lore'],['Hades/Persephone (Ancient Greek Religion & Lore)'],"['Hades (Ancient Greek Religion & Lore)', 'Persephone (Ancient Greek Religion & Lore)']","['Children', 'Underworld', 'Storytelling', 'Inspired by Hades and Persephone (Ancient Greek Religion & Lore)', 'Death', 'Child Death', 'Implied/Referenced Character Death', 'Marriage', 'no beta we die like achilles', 'Short & Sweet', 'Light Angst']",English,2021-04-11,Completed,2021-04-11,365,3.0,108.0,13.0,935,0.3333333333333333,,,,0.3333333333333333,
Not Rated,['F/F'],"['Ancient Greek Religion & Lore', 'Ancient Roman Religion & Lore']","['Hades & Persephone (Ancient Greek Religion & Lore)', 'Hades/Persephone (Ancient Greek Religion & Lore)', 'Demeter & Hades (Ancient Greek Religion & Lore)', 'Demeter & Persephone (Ancient Greek Religion & Lore)']","['Hades (Ancient Greek Religion & Lore)', 'Persephone (Ancient Greek Religion & Lore)', 'Demeter (Ancient Greek Religion & Lore)', 'Zeus (Ancient Greek Religion & Lore)', 'Poseidon (Ancient Greek Religion & Lore)']","['Bonding', 'Babysitting', 'but shes like 50 something in so like still young', 'for a god', ""so Like I'm thinking late teens early 20s"", 'Smoking', 'Underage Smoking', 'soooo', 'trigger warning', 'fot that', 'I Wrote This Instead of Sleeping', ""i'm so tired""]",English,2021-03-14,Completed,2021-03-14,939,,12.0,,213,,,,,,
Explicit,['F/M'],"['Lore Olympus (Webcomic)', 'Ancient Greek Religion & Lore']","['Hades/Persephone', 'Hades/Persephone (Lore Olympus)']","['Hades', 'Hades (Lore Olympus)', 'Persephone', 'Persephone (Lore Olympus)']","['Smut', 'Flirting', 'Married Couple', 'Public Blow Jobs', 'Oral Sex', 'Secret hand jobs', 'Teasing', 'Mild Embarrassment', 'Not Beta Read']",English,2021-03-11,Completed,2021-03-11,1554,27.0,251.0,17.0,4801,,,,,,
General Audiences,[''],"['Original Work', 'Ancient Greek Religion & Lore']",['Hades/Persephone'],[''],[''],English,2021-03-10,Completed,2021-03-10,155,,12.0,,136,,0.0,,0.25,,
Mature,"['F/M', 'Gen']",['Ancient Greek Religion & Lore'],"['Hades/Persephone (Ancient Greek Religion & Lore)', 'Demeter & Persephone (Ancient Greek Religion & Lore)', 'Hestia & Persephone (Ancient Greek Religion & Lore)', 'Aeneas/Cassandra (Ancient Greek Religion & Lore)']","['Persephone (Ancient Greek Religion & Lore)', 'Hades (Ancient Greek Religion & Lore)', 'Demeter (Ancient Greek Religion & Lore)', 'Hestia (Ancient Greek Religion & Lore)', 'Apollo (Ancient Greek Religion & Lore)', 'Sirens (Ancient Greek Religion & Lore)', 'Cassandra (Ancient Greek Religion & Lore)', 'Aeneas (Ancient Greek Religion & Lore)']","['Trojan War', 'Mild Smut', 'Revenge', 'Canonical Character Death', 'Alternate Universe - Modern Setting', '3 Sentence Fiction', '3 Sentence Ficathon']",English,2021-03-06,Completed,2021-03-06,1240,3.0,44.0,2.0,564,,,,,,
General Audiences,['F/M'],"['Greek and Roman Mythology', 'Original Work']","['Hades/Persephone', 'Hermes & Persephone (Ancient Greek Religion & Lore)']","['Hades', 'Persephone', 'Hermes', 'Demeter', 'Zeus']","['Marriage Proposal', 'Love Confessions', 'Declarations Of Love', 'Hermes is a third wheel', 'Hades is a mess', 'A very cute mess', 'No beta we die like geek dogs']",English,2021-02-28,Completed,2021-02-28,804,,158.0,7.0,975,,0.21739130434782608,,0.043478260869565216,,
General Audiences,['F/M'],['Ancient Greek Religion & Lore'],"['Hades/Persephone (Ancient Greek Religion & Lore)', 'Hades & Zeus (Ancient Greek Religion & Lore)']","['Hades (Ancient Greek Religion & Lore)', 'Persephone (Ancient Greek Religion & Lore)', 'Zeus (Ancient Greek Religion & Lore)']","['Introspection', 'Drama & Romance', 'Angst']",English,2021-02-28,Completed,2021-02-28,365,4.0,44.0,,494,,,,,,
Not Rated,['F/M'],"['Ancient Greek Religion & Lore', 'Lore Olympus (Webcomic)']",['Hades/Persephone (Ancient Greek Religion & Lore)'],"['Hades (Lore Olympus)', 'Persephone (Ancient Greek Religion & Lore)', 'Rhea (Ancient Greek Religion & Lore)']",[''],English,2021-02-27,Completed,2021-02-27,567,1.0,16.0,,440,,,,,,
General Audiences,['F/M'],"['Ancient Greek Religion & Lore', 'Pu nohiroakademia | Boku no Hero Academia | My Hero Academia']","['Hades/Persephone (Ancient Greek Religion & Lore)', 'Midoriya Hisashi/Midoriya Inko']","['Hades (Ancient Greek Religion & Lore)', 'Midoriya Hisashi', 'Kurogiri (My Hero Academia)']","['Inspired by Hades and Persephone (Ancient Greek Religion & Lore)', 'Sensei | All For One is Midoriya Hisashi', 'Protective Sensei | All For One', ""Sensei | All For One is Midoriya Izuku's Parent"", 'Sweet Hades (Ancient Greek Religion & Lore)', 'forgetful hades', 'Not Beta Read', ""I'm Sorry"", 'busy hades', 'look i put 3! characters', 'The Author Regrets Nothing', 'maybe a little', 'author is not good at crack', 'but i tried', 'The Author Regrets Everything', 'Female Hades (Ancient Greek Religion & Lore)', 'author tends to curse']",English,2021-02-27,Completed,2021-02-27,1648,,17.0,1.0,475,,,,,,
Teen And Up Audiences,['M/M'],"['Ancient Greek Religion & Lore', 'The Song of Achilles - Madeline Miller']","['Achilles/Patroclus of Opus (Ancient Greek Religion & Lore)', 'Hades/Persephone (Ancient Greek Religion & Lore)', 'Hera/Zeus (Ancient Greek Religion & Lore)', 'Apollo/Hector (Ancient Greek Religion & Lore)']","['Achilles (Ancient Greek Religion & Lore)', 'Patroclus of Opus (Ancient Greek Religion & Lore)', 'Minor and Background Character(s)']","['somewhat inspired by the gang of youths', 'i guess? idk', 'im bad at tagging', 'no beta we die like achilles(men)', 'Angst', 'little bit of a song fic', 'Ancient Greece', ""I'm sorry""]",English,2020-12-05,Completed,2021-02-22,1064,3.0,23.0,1.0,399,,,,,,
Mature,['F/M'],['Ancient Greek Religion & Lore'],['Hades/Persephone (Ancient Greek Religion & Lore)'],"['Demeter (Ancient Greek Religion & Lore)', 'Hades (Ancient Greek Religion & Lore)', 'Persephone (Ancient Greek Religion & Lore)']","['Abduction', 'Loss of Innocence', 'Desire', 'Power Dynamics', 'Magic Belt', 'Underworld', 'Consent', 'Possible misuse of ancient Greek language']",English,2021-02-21,Completed,2021-02-21,1814,8.0,79.0,5.0,1546,-0.08695652173913043,,,,-0.15217391304347827,
Teen And Up Audiences,['Gen'],['Ancient Greek Religion & Lore'],['Hades/Persephone (Ancient Greek Religion & Lore)'],"['Ares (Ancient Greek Religion & Lore)', 'Hades (Ancient Greek Religion & Lore)', 'Sisyphus (Ancient Greek Religion & Lore)', 'Thanatos (Ancient Greek Religion & Lore)', 'Persephone (Ancient Greek Religion & Lore)', 'Charon (Ancient Greek Religion & Lore)']","['sisyphus captures thanatos', 'ares is pissed', 'he just wants to see people die', 'brutally', 'in war', 'so he has to fix the no dying thing']",English,2021-02-21,Completed,2021-02-21,1256,6.0,57.0,5.0,731,1.0,0.2777777777777778,-0.7222222222222222,0.1111111111111111,0.3333333333333333,-0.2222222222222222
Teen And Up Audiences,['F/M'],['Ancient Greek Religion & Lore'],['Hades/Persephone (Ancient Greek Religion & Lore)'],"['Hades (Ancient Greek Religion & Lore)', 'Persephone (Ancient Greek Religion & Lore)', 'random scretary']","['Coffee', 'coffee is the ultimate god', 'Pagan Gods', 'Goddesses', 'Gods', 'References to Ancient Greek Religion & Lore', 'Inspired by Hades and Persephone (Ancient Greek Religion & Lore)', 'Hades Needs a Hug', 'Female Hades (Ancient Greek Religion & Lore)', 'Male Persephone (Ancient Greek Religion & Lore)', 'sleep deprived Hades', 'The Author Regrets Everything', 'The Author Regrets Nothing', 'construction references because author misses school and is a proud architecture student', 'no beta we die like men', 'Fluff', 'Domestic', 'Domestic Fluff', 'author tends to curse', 'Long-Distance Relationship', 'Long-Term Relationship(s)', 'Established Relationship', 'cerberus is cute bite me', 'Persephone Goes Willingly With Hades (Ancient Greek Religion & Lore)', 'more like hades is a mess and persephone is a good caring boyfriend', 'i think i might be proyecting in hades']",English,2021-02-19,Completed,2021-02-19,1409,2.0,29.0,4.0,1003,,,,,,
Explicit,['F/M'],['Ancient Greek Religion & Lore'],"['Hades/Persephone (Ancient Greek Religion & Lore)', 'Hades/Persephone']","['Persephone (Ancient Greek Religion & Lore)', 'Hades (Ancient Greek Religion & Lore)']","[""Valentine's Day"", 'Sex Work', 'Uncle/Niece Incest']",English,2021-02-18,Completed,2021-02-18,1522,,115.0,12.0,2894,0.3333333333333333,,,,0.09523809523809523,
Teen And Up Audiences,['F/M'],['Ancient Greek Religion & Lore'],['Hades/Persephone (Ancient Greek Religion & Lore)'],[''],[''],English,2021-02-15,Completed,2021-02-15,441,2.0,7.0,,111,,,,,,
Teen And Up Audiences,['F/M'],['Ancient Greek Religion & Lore'],['Hades/Persephone (Ancient Greek Religion & Lore)'],"['Hades (Ancient Greek Religion & Lore)', 'Persephone (Ancient Greek Religion & Lore)']","['Digital Art', 'Fanart']",English,2021-02-14,Completed,2021-02-14,0,40.0,105.0,7.0,743,,,,,,
General Audiences,['F/M'],['Ancient Greek Religion & Lore'],['Hades/Persephone (Ancient Greek Religion & Lore)'],"['Hades (Ancient Greek Religion & Lore)', 'Persephone (Ancient Greek Religion & Lore)']","['Power Dynamics', 'Power Play', 'Persephone Goes Willingly With Hades (Ancient Greek Religion & Lore)', 'BAMF Persephone (Ancient Greek Religion & Lore)', 'Non-Sexual Kink']",English,2021-02-12,Completed,2021-02-12,314,16.0,99.0,14.0,967,0.25,,,,-0.3333333333333333,
General Audiences,['F/M'],['Ancient Greek Religion & Lore'],"['Hades/Persephone (Ancient Greek Religion & Lore)', 'Hades & Persephone (Ancient Greek Religion & Lore)']","['Hades (Ancient Greek Religion & Lore)', 'Persephone (Ancient Greek Religion & Lore)']","['Fluff', 'Inspired by Hades and Persephone (Ancient Greek Religion & Lore)', 'Dialogue Heavy', 'Romance', 'Flirting', 'Falling In Love']",English,2021-02-11,Completed,2021-02-11,612,1.0,84.0,7.0,849,,,,,,
Teen And Up Audiences,['F/M'],['Ancient Greek Religion & Lore'],['Hades/Persephone (Ancient Greek Religion & Lore)'],"['Hades (Ancient Greek Religion & Lore)', 'Persephone (Ancient Greek Religion & Lore)']","['Homecoming', 'Kissing', 'Fluff', 'Reunions']",English,2021-02-07,Completed,2021-02-07,418,13.0,132.0,22.0,741,0.3076923076923077,,,,-0.15384615384615385,
General Audiences,['F/M'],['Ancient Greek Religion & Lore'],['Hades/Persephone (Ancient Greek Religion & Lore)'],"['Hades (Ancient Greek Religion & Lore)', 'Persephone (Ancient Greek Religion & Lore)']","['Watching Someone Sleep', 'Longing']",English,2021-02-03,Completed,2021-02-03,200,4.0,35.0,3.0,592,,,,,,
Teen And Up Audiences,['F/M'],"['Hadestown - Mitchell', 'Ancient Greek Religion & Lore']",['Hades/Persephone (Hadestown)'],"['Hades (Hadestown)', 'Persephone (Hadestown)', 'Dionysus (Ancient Greek Religion & Lore)']","['Oneshot', 'before canon', 'Inspired by Hades and Persephone (Ancient Greek Religion & Lore)', 'References to Ancient Greek Religion & Lore', 'Inspired by Hadestown', 'Hadestown References']",English,2021-01-26,Completed,2021-01-26,863,1.0,16.0,1.0,178,0.20833333333333334,0.36666666666666664,0.1583333333333333,0.13333333333333333,-0.08333333333333333,0.21666666666666667
Explicit,['F/M'],"['Lore Olympus (Webcomic)', 'greek - Fandom']",['Hades/Persephone (Lore Olympus)'],"['Hades (Lore Olympus)', 'Persephone (Lore Olympus)']","['Masturbation', 'Wet Dream', 'Wet & Messy', 'Blow Jobs', 'Hand Jobs', 'Light Dom/sub']",English,2021-01-17,Completed,2021-01-17,1490,,157.0,3.0,4149,,,,,,
General Audiences,['Gen'],"['Hadestown - Mitchell', 'Ancient Greek Religion & Lore']","['Hades/Persephone (Hadestown)', 'Demeter & Persephone (Ancient Greek Religion & Lore)', 'Hestia & Persephone (Ancient Greek Religion & Lore)']","['Persephone (Hadestown)', 'Demeter (Ancient Greek Religion & Lore)', 'Hestia (Ancient Greek Religion & Lore)', 'OMC', 'OFC']","['The babies!', 'Demeter is working on her issues', 'Hestia knows all', 'background Hades', 'Hecate mentioned', 'Persephone is tired', 'Babies are exhausting', 'Babies', 'Look I had family issues', 'and this is how I solve them']",English,2021-01-10,Completed,2021-01-10,1236,4.0,42.0,1.0,606,0.25,0.4,0.15000000000000002,0.2,-0.25,0.45
General Audiences,['F/F'],['Ancient Greek Religion & Lore'],['Hades/Persephone (Ancient Greek Religion & Lore)'],"['Hades (Ancient Greek Religion & Lore)', 'Persephone (Ancient Greek Religion & Lore)']",['just something soft'],English,2020-12-28,Completed,2020-12-28,1000,3.0,60.0,8.0,774,0.125,0.75,0.625,0.5,-0.20833333333333334,0.7083333333333334
Mature,['F/M'],"['GWA - Fandom', 'gonewildaudio - Fandom', 'Original Work', 'Ancient Greek Religion & Lore']","['M4F - Relationship', 'Hades/Persephone (Ancient Greek Religion & Lore)']","['Any male performer', 'Hades (Ancient Greek Religion & Lore)']","['Screenplay/Script Format', 'Praise', 'Kissing', 'L-Bombs', 'romantic', 'Vanilla', 'Gift Giving', 'Sex in Roses', 'Tell Me What You Want...', 'Modern Myth Telling']",English,2020-12-19,Completed,2020-12-19,1571,,17.0,,1004,0.3333333333333333,,,,-0.3333333333333333,
General Audiences,['Gen'],['Ancient Greek Religion & Lore'],['Background Hades/Persephone (Ancient Greek Religion & Lore)'],"['Thanatos (Ancient Greek Religion & Lore)', 'Hades (Ancient Greek Religion & Lore)', 'Persephone (Ancient Greek Religion & Lore)', 'Sisyphus (Ancient Greek Religion & Lore)']","['Holiday Fic Exchange', 'Villain PoV', 'Unseen Backstory', 'Festivals', 'Holidays', 'Fake Holiday', 'Nonbinary Character', 'Thanatos Hates Parties', 'Party', 'Not Beta Read']",English,2020-12-19,Completed,2020-12-19,1598,3.0,22.0,1.0,242,0.6666666666666666,0.0,-0.6666666666666666,0.0,0.3333333333333333,-0.3333333333333333
Explicit,['F/M'],['Ancient Greek Religion & Lore'],['Hades/Persephone (Ancient Greek Religion & Lore)'],"['Hades (Ancient Greek Religion & Lore)', 'Persephone (Ancient Greek Religion & Lore)']","['Alternate Universe', 'Airships', 'Sky Pirates', 'Alternate Universe - Pirate', 'Captivity', 'Light Bondage', 'Facial Shaving', 'Power Play', 'Touch-Starved', 'Rape', 'Extremely Dubious Consent', 'Implied/Referenced Rape/Non-con', 'Frottage', 'Face-Sitting', 'Breathplay', 'Begging', 'Knifeplay', 'Past Relationship(s)']",English,2020-12-12,Completed,2020-12-12,753,5.0,52.0,8.0,1679,,,,,,
Teen And Up Audiences,['Other'],"['Ancient Greek Religion & Lore', 'Lore Olympus (Webcomic)']",['Hades/Persephone (Ancient Greek Religion & Lore)'],[''],[''],English,2020-12-08,Completed,2020-12-08,490,11.0,27.0,,264,,,,,,
Teen And Up Audiences,"['F/F', 'F/M']","['Lore Olympus (Webcomic)', 'Ancient Greek Religion & Lore']","['Artemis/Persephone (Lore Olympus)', 'Eros/Psyche (Lore Olympus)', 'Hades/Persephone (Lore Olympus)']","['Psyche (Lore Olympus)', 'Eros (Lore Olympus)', 'Hades (Lore Olympus)', 'Artemis (Lore Olympus)', 'Persephone (Lore Olympus)']","['Song: She (dodie)', 'Based on a dodie Song', 'This Is STUPID', 'Not Beta Read', 'I had an idea and I had to get it out of my head', ""I'm Sorry"", 'Oneshot', ""Heracles they're lesbians"", 'Angst']",English,2020-12-07,Completed,2020-12-07,1438,2.0,21.0,3.0,403,0.0,,,,-0.16666666666666666,
General Audiences,['F/M'],['Ancient Greek Religion & Lore'],['Hades/Persephone (Ancient Greek Religion & Lore)'],['Persephone (Ancient Greek Religion & Lore)'],[''],English,2020-12-05,Completed,2020-12-05,519,,37.0,2.0,395,0.0,1.0,1.0,0.0,-0.29411764705882354,0.29411764705882354
General Audiences,['F/M'],['Ancient Greek Religion & Lore'],['Hades/Persephone (Ancient Greek Religion & Lore)'],"['Hades (Ancient Greek Religion & Lore)', 'Persephone (Ancient Greek Religion & Lore)']","['Inspired by Hades and Persephone (Ancient Greek Religion & Lore)', 'Relationship(s)', 'Long-Distance Relationship', 'Prose Poem']",English,2020-11-14,Completed,2020-11-14,250,2.0,18.0,3.0,221,,,,,,
General Audiences,"['F/M', 'Gen']",['Ancient Greek Religion & Lore'],"['Hades/Persephone (Ancient Greek Religion & Lore)', 'Demeter & Persephone (Ancient Greek Religion & Lore)']","['Persephone (Ancient Greek Religion & Lore)', 'Hades (Ancient Greek Religion & Lore)', 'Demeter (Ancient Greek Religion & Lore)']","['Persephone Goes Willingly With Hades (Ancient Greek Religion & Lore)', 'References to Ancient Greek Religion & Lore', 'Inspired by Hades and Persephone (Ancient Greek Religion & Lore)', 'Prose Poem']",English,2020-11-14,Completed,2020-11-14,431,5.0,14.0,1.0,178,,0.0,,1.0,,
Teen And Up Audiences,['F/M'],"['Lore Olympus (Webcomic)', 'Ancient Greek Religion & Lore']","['Hades/Persephone', 'Hades/Persephone (Lore Olympus)']","['Hades', 'Persephone', 'Hades (Lore Olympus)', 'Persephone (Lore Olympus)']","['Fluff', 'Domestic Fluff', 'Self Confidence', 'Falling In Love', 'Love Confessions', 'Dorks in Love']",English,2020-11-11,Completed,2020-11-11,1350,2.0,91.0,7.0,1507,,,,,,
General Audiences,['F/M'],"['Lore Olympus (Webcomic)', 'Ancient Greek Religion & Lore']","['Hades/Persephone', 'Hades/Persephone (Lore Olympus)']","['Hades (Lore Olympus)', 'Persephone (Lore Olympus)', 'Hades', 'Persephone']","['Lore Olympus - Freeform', 'Kissing in the Rain', 'Inspired by Hades and Persephone (Ancient Greek Religion & Lore)', 'Fluff', 'Hades loves to comfort his wife', 'theyre too cute', 'I Wrote This Instead of Sleeping']",English,2020-11-04,Completed,2020-11-04,1033,,106.0,4.0,1670,,0.15151515151515152,,-0.09090909090909091,,
Not Rated,['Gen'],"['World of Warcraft', 'Hellsing', 'A Nightmare on Elm Street - All Media Types', 'Ancient Greek Religion & Lore']",['Hades/Persephone (Ancient Greek Religion & Lore) (mentioned)'],"['Hades (Ancient Greek Religion & Lore)', 'Persephone (Ancient Greek Religion & Lore) (mentioned)', 'Sylvanas Windrunner', 'Freddy Krueger', 'Major Montana Max']","['crack!fic', 'I Wrote This Instead of Sleeping', 'Distraction because of writers block', 'I have only read about WoW and Nightmare', 'Hellsing Ultimate OVA is awesome IMO', 'characters may be ooc', 'Somehow I wrote some disturbing shit without being disturbed', ""i don't even like halloween"", 'I checked this crossover has never been written before haha', 'Hades is bored out of his mind', 'no beta we die like sylvanas']",English,2020-11-01,Completed,2020-11-01,1078,,1.0,,102,,,,,,
Teen And Up Audiences,"['F/M', 'Multi']","['Ancient Greek Religion & Lore', 'Lore Olympus (Webcomic)']","['Hades/Persephone', 'Hades/Persephone (Lore Olympus)', 'Hades & Persephone (Ancient Greek Religion & Lore)']","['Hades (Ancient Greek Religion & Lore)', 'Hades (Lore Olympus)', 'Persephone (Ancient Greek Religion & Lore)', 'Persephone (Lore Olympus)', 'Demeter (Ancient Greek Religion & Lore)', 'Demeter (Lore Olympus)', 'Hera (Ancient Greek Religion & Lore)', 'Hera (Lore Olympus)', 'Hestia (Ancient Greek Religion & Lore)', 'Hestia (Lore Olympus)']","['Weddings', 'Parent-Child Relationship', 'Demeter buries Kore']",English,2020-10-14,Completed,2020-10-14,737,6.0,144.0,14.0,1897,0.08333333333333333,0.2,0.11666666666666668,-0.2,-0.041666666666666664,-0.15833333333333335
General Audiences,['F/M'],"['Lore Olympus (Webcomic)', 'Ancient Greek Religion & Lore']","['Hades/Persephone (Lore Olympus)', 'Hades & Persephone (Lore Olympus)', 'Hades & Persephone (Ancient Greek Religion & Lore)', 'Hades/Persephone (Ancient Greek Religion & Lore)']","['Hades (Lore Olympus)', 'Hades (Ancient Greek Religion & Lore)', 'Persephone (Lore Olympus)', 'Persephone (Ancient Greek Religion & Lore)']","['Emotional Hurt/Comfort', 'Angst', 'Sad', 'Married Couple', 'Forced Separation']",English,2020-10-13,Completed,2020-10-13,440,24.0,173.0,8.0,1930,0.25,-0.07142857142857142,-0.3214285714285714,-0.35714285714285715,0.25,-0.6071428571428572
General Audiences,"['F/M', 'Gen']","['Greek and Roman Mythology', 'Original Work']",['Hades/Persephone'],"['Keroberos | Cerberus', 'Hades', 'Persephone']","['Spot is a Good Girl', 'No beta we die like geek dogs']",English,2020-10-11,Completed,2020-10-11,1110,2.0,154.0,8.0,1081,,0.07692307692307693,,-0.3076923076923077,,
General Audiences,['F/M'],"['Lore Olympus (Webcomic)', 'Ancient Greek Religion & Lore']","['Hades/Persephone (Lore Olympus)', 'Hades/Persephone (Ancient Greek Religion & Lore)']","['Hades (Lore Olympus)', 'Persephone (Lore Olympus)', 'Hades (Ancient Greek Religion & Lore)', 'Persephone (Ancient Greek Religion & Lore)']","['Snuggling', 'Sleep', 'Insomnia', 'Falling In Love', 'Fire', 'Fluff', 'Intimacy']",English,2020-10-09,Completed,2020-10-09,951,4.0,109.0,8.0,996,,,,,,
Mature,['F/F'],['Ancient Greek Religion & Lore'],['Hades/Persephone (Ancient Greek Religion & Lore)'],"['Hades (Ancient Greek Religion & Lore)', 'Persephone (Ancient Greek Religion & Lore)']","['Genderswap', 'Kidnapping', 'Aunt/Niece Incest']",English,2020-10-08,Completed,2020-10-08,685,,105.0,9.0,1200,,0.3333333333333333,,0.3333333333333333,,
Teen And Up Audiences,"['F/M', 'Gen']",['Ancient Greek Religion & Lore'],['Hades/Persephone (Ancient Greek Religion & Lore)'],"['Hades (Ancient Greek Religion & Lore)', 'Persephone (Ancient Greek Religion & Lore)', 'Zeus (Ancient Greek Religion & Lore)']","['Lecherous Zeus (Ancient Greek Religion & Lore)', 'Originally Posted on FanFiction.Net', 'Humor', 'Light-Hearted', 'Literary References & Allusions', 'References to Ancient Greek Religion & Lore', 'Snark', 'Greek Mythology has one messed-up family']",English,2020-10-07,Completed,2020-10-07,1155,1.0,45.0,5.0,729,0.42857142857142855,0.4,-0.028571428571428525,-0.24,-0.2857142857142857,0.04571428571428571
